"filename", "language", "TypeScript JSX", "CSS", "SCSS", "TypeScript", "comment", "blank", "total"
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/component/Navbar/Navbar.scss", "SCSS", 0, 0, 23, 0, 0, 5, 28
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/component/Navbar/Navbar.tsx", "TypeScript JSX", 141, 0, 0, 0, 2, 13, 156
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/component/Pagination/Pagination.tsx", "TypeScript JSX", 43, 0, 0, 0, 0, 6, 49
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/component/SearchBar/SearchBar.tsx", "TypeScript JSX", 109, 0, 0, 0, 0, 13, 122
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/enum-types.ts", "TypeScript", 0, 0, 0, 18, 0, 3, 21
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/firebase.ts", "TypeScript", 0, 0, 0, 34, 15, 7, 56
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/helpers/checkHttpResponseStatus.ts", "TypeScript", 0, 0, 0, 9, 0, 2, 11
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/helpers/notify.ts", "TypeScript", 0, 0, 0, 7, 0, 2, 9
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/helpers/renderErrorMessage.tsx", "TypeScript JSX", 13, 0, 0, 0, 0, 1, 14
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/index.css", "CSS", 0, 12, 0, 0, 0, 2, 14
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/index.tsx", "TypeScript JSX", 13, 0, 0, 0, 5, 3, 21
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/layout/MainLayout.tsx", "TypeScript JSX", 21, 0, 0, 0, 4, 6, 31
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/Company/CompanyPage.tsx", "TypeScript JSX", 178, 0, 0, 0, 0, 21, 199
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/Company/ManageJobPosts.tsx", "TypeScript JSX", 249, 0, 0, 0, 1, 18, 268
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/Company/UpdateProfile.tsx", "TypeScript JSX", 210, 0, 0, 0, 125, 28, 363
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/Cv-template/CVTemplateProps.tsx", "TypeScript JSX", 23, 0, 0, 0, 0, 2, 25
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/Cv-template/Cv-template-1/CvTemplate1.scss", "SCSS", 0, 0, 6, 0, 0, 1, 7
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/Cv-template/Cv-template-1/CvTemplate1.tsx", "TypeScript JSX", 264, 0, 0, 0, 0, 5, 269
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/Cv-template/Cv-template-2/CvTemplate2.scss", "SCSS", 0, 0, 0, 0, 0, 1, 1
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/Cv-template/Cv-template-2/CvTemplate2.tsx", "TypeScript JSX", 134, 0, 0, 0, 1, 9, 144
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/Cv-template/Cv-template-3/CvTemplate3.scss", "SCSS", 0, 0, 56, 0, 0, 11, 67
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/Cv-template/Cv-template-3/CvTemplate3.tsx", "TypeScript JSX", 67, 0, 0, 0, 1, 8, 76
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/Employee/ManageApplication/ManageApplication.tsx", "TypeScript JSX", 180, 0, 0, 0, 2, 11, 193
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/Employee/NewProfile/NewProfile.scss", "SCSS", 0, 0, 54, 0, 0, 12, 66
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/Employee/NewProfile/NewProfile.tsx", "TypeScript JSX", 797, 0, 0, 0, 7, 61, 865
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/Employee/Profile/Profile.scss", "SCSS", 0, 0, 33, 0, 5, 2, 40
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/Employee/Profile/Profile.tsx", "TypeScript JSX", 183, 0, 0, 0, 22, 12, 217
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/Employee/UploadCv/UploadCvPage.tsx", "TypeScript JSX", 136, 0, 0, 0, 0, 12, 148
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/Employee/UploadCv/helper.ts", "TypeScript", 0, 0, 0, 9, 0, 2, 11
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/ForgotPassword/ForgotPassword.scss", "SCSS", 0, 0, 56, 0, 0, 9, 65
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/ForgotPassword/ForgotPassword.tsx", "TypeScript JSX", 74, 0, 0, 0, 1, 6, 81
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/Home/Home.scss", "SCSS", 0, 0, 5, 0, 0, 1, 6
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/Home/Home.tsx", "TypeScript JSX", 229, 0, 0, 0, 0, 21, 250
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/Job/ApplyJobPage.tsx", "TypeScript JSX", 171, 0, 0, 0, 1, 19, 191
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/Job/CreateJobPage.tsx", "TypeScript JSX", 261, 0, 0, 0, 1, 29, 291
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/Job/JobDetailPage.tsx", "TypeScript JSX", 100, 0, 0, 0, 0, 9, 109
"/home/ad/Desktop/code/DATN/JobFinder-FE/src/pages/Job/ListApplicants.tsx", "TypeScript JSX", 347, 0, 0, 0, 2, 22, 371
